"claim","quote"
"Sigma Prime co‑founder and director Mehdi Zerouali contributes to the 1TS initiative as an ecosystem steward, offering 15 years of offensive cybersecurity expertise","The initiative brings in key contributors from across the security ecosystem. These include samczsun, founder of the Security Alliance and security advisor at Paradigm; Mehdi Zerouali, co-founder of blockchain security firm Sigma Prime; and Zach Obront, co-founder of Etherealize and a contributor to OP Succinct."
"XRPL already hosts stablecoins such as Ripple’s RLUSD, StraitsX’s Singapore‑dollar‑pegged XSGD, Schuman Financial’s EURØP, and Braza Bank’s USDB","The addition of USDC significantly strengthens XRPL’s stablecoin ecosystem. Other notable stablecoins on the ledger include Ripple’s RLUSD, StraitsX’s XSGD (Singapore dollar-pegged), Schuman Financial’s EURØP (euro-pegged), and Braza Bank’s USDB."
"XRPL already hosts stablecoins such as Ripple’s RLUSD, StraitsX’s Singapore‑dollar‑pegged XSGD, Schuman Financial’s EURØP, and Braza Bank’s USDB","XRP Ledger also supports StraitsX Singapore Dollar (XSGD), Schuman Euro (EUROP) and BrazaBank USD (USDB)."
"Uniswap provides decentralized liquidity to power the token swaps initiated through XSwap, enabling permissionless exchange as part of Mastercard’s onchain payment route","Shift4 will provide ""seamless card processing"" using Uniswap and other liquidity sources."
"Uniswap provides decentralized liquidity to power the token swaps initiated through XSwap, enabling permissionless exchange as part of Mastercard’s onchain payment route","This exchange sources liquidity from DEX protocols like Uniswap to finalize swaps on-chain."
"Uniswap provides decentralized liquidity to power the token swaps initiated through XSwap, enabling permissionless exchange as part of Mastercard’s onchain payment route","Uniswap execute the final token swap on decentralized markets."
"Paul Atkins warned that developers should not be assumed to be brokers merely for writing code","Atkins criticized earlier regulatory actions that labeled wallet developers as unregistered brokers, claiming software publication alone should not trigger securities obligations."
"Paul Atkins warned that developers should not be assumed to be brokers merely for writing code","Atkins has criticized the agency's previous approach, and on Monday, accused the agency of undermining the innovation in self-custody by asserting that developers could be brokers, and therefore, need to follow the SEC's rules."
"PayPal is a global payments platform that has expanded into the cryptocurrency space, offering services to over 428 million accounts, primarily in the U.S.","PayPal’s global reach extends to roughly 428 million accounts as of December, the majority of which are in the United States."
"PayPal is a global payments platform that has expanded into the cryptocurrency space, offering services to over 428 million accounts, primarily in the U.S.","The company, which has also launched its own U.S. dollar-backed stablecoin, has last year moved to allow its business clients access crypto directly from their accounts in the U.S."
"R1 invites ETH holders to support Ethereum public goods instead of extraction schemes","This is an open call to:  Developers who want to contribute to a truly public rollup  App builders looking for a censorship-resistant home  ETH holders who want to fund Ethereum public goods, not extraction schemes."
"Hayden Adams, Uniswap CEO, stated that now closed SEC's investigation into Uniswap Labs lasted over three years and costed the company millions of dollars","Uniswap Labs CEO Hayden Adams said in a Feb. 25 X post that the investigation took over three years and cost the company millions of dollars. Adams claims the agency went after Uniswap Labs with no apparent legal reason, only as part of a strategy to force decentralized finance (DeFi) into a regulatory framework that doesn’t fit.  “This is a huge win, not just for Uniswap Labs but for DeFi as a whole. It reaffirms what we’ve said all along: that decentralized technology and self-custody are inherently different from the centralized, intermediated systems they aim to replace,” Adams added."
"The ElizaOS community retains full control over modifications to the project's token ticker via DAO governance","for now, with future changes to be voted on by the community when our DAO voting module launches"
"The ElizaOS community retains full control over modifications to the project's token ticker via DAO governance","Walters noted that the ai16z ticker will remain unchanged for now, with future updates subject to a DAO vote"
"Quantum-Resistant Address Migration Protocol proposes a countdown window during which users must move funds from legacy to quantum-resistant wallets","During a migration window, users would still be able to move funds freely. The BIP calls for wallet developers, block explorers and “other infrastructure” to build tools and warnings to help users comply."
"Quantum-Resistant Address Migration Protocol proposes a countdown window during which users must move funds from legacy to quantum-resistant wallets","Cruz’s QRAMP proposal outlines how the hard fork would work. Once activated, it would trigger a countdown. Users must “sweep” their bitcoins from vulnerable legacy addresses to new quantum-resistant wallets. If they fail to do so before the deadline, Bitcoin Core — the dominant full-node software — will automatically reject any attempt to spend those funds."
"Cantor Fitzgerald aims to make up to $2 billion available to institutional clients through its “Bitcoin Financing Business,” addressing growing demand for reliable, regulated crypto‑market access","The Wall Street firm, which plans to initially make available up to $2 billion in financing for institutional clients, said it closed a tranche of deals with Maple Finance and FalconX."
"Cantor Fitzgerald aims to make up to $2 billion available to institutional clients through its “Bitcoin Financing Business,” addressing growing demand for reliable, regulated crypto‑market access","Cantor's initiative, with an initial $2 billion in financing, aims to support institutions by providing diverse funding sources and enhancing liquidity."
"Acting CFTC Chair Caroline Pham is expected to resign once Brian Quintenz is confirmed, deepening the agency’s leadership vacuum amid regulatory transition","Acting Chairman Caroline Pham and Commissioner Kristin Johnson — are planning their exits."
"Acting CFTC Chair Caroline Pham is expected to resign once Brian Quintenz is confirmed, deepening the agency’s leadership vacuum amid regulatory transition","Acting Chair Caroline Pham is also expected to exit once Quintenz is confirmed, leaving the agency at a pivotal moment with both leadership structure and regulatory direction in transition."
"Acting CFTC Chair Caroline Pham is expected to resign once Brian Quintenz is confirmed, deepening the agency’s leadership vacuum amid regulatory transition","Acting Chairman Caroline Pham, who said she's leaving when Quintenz starts work. The lone Democrat, Kristen Johnson, said she'll depart ""later this year,"" leaving some uncertainty about her timing."
"SEC Commissioner Hester Peirce, known as 'Crypto Mom' for her pro-crypto stance, was appointed on January 21 to lead the SEC’s newly formed Crypto Task Force","The task force will be led by Commissioner Hester Peirce, often referred to as “Crypto Mom” due to her supportive stance on cryptocurrency regulations"
"SEC Commissioner Hester Peirce, known as 'Crypto Mom' for her pro-crypto stance, was appointed on January 21 to lead the SEC’s newly formed Crypto Task Force","The task force will be led by Commissioner Hester Peirce, a long-time advocate for the crypto industry, and will work closely with the crypto industry to develop regulations. The task force will also work with Congress, providing “technical assistance” as it crafts crypto regulations"
"Security Alliance (SEAL) founder and Paradigm security advisor samczsun joins the 1TS initiative as an ecosystem steward, bringing extensive vulnerability‑disclosure experience","samczsun is the founder of the Security Alliance (SEAL) and works with leading technologists and researchers to secure the future of crypto. He got his start in crypto through responsibly disclosing dozens of critical vulnerabilities across various protocols and publishing technical writeups. He is also a security advisor at Paradigm."
"Security Alliance (SEAL) founder and Paradigm security advisor samczsun joins the 1TS initiative as an ecosystem steward, bringing extensive vulnerability‑disclosure experience","The initiative brings in key contributors from across the security ecosystem. These include samczsun, founder of the Security Alliance and security advisor at Paradigm; Mehdi Zerouali, co-founder of blockchain security firm Sigma Prime; and Zach Obront, co-founder of Etherealize and a contributor to OP Succinct."
"Jameson Lopp explained that attackers exploit low Bitcoin transaction fees, enabling them to conduct numerous poisoning attacks at minimal cost","A Bitcoin security expert is warning that ""address poisoning"" attacks are on the rise on the blockchain, as low transaction fees allow threat actors to target a large number of addresses at a relatively low cost. "
"Bybit’s forensic review concluded that the exchange had no security vulnerabilities and that the hack originated from Safe wallet’s breach","ByBit, the second largest centralized exchange (CEX) in the world, released third-party audits today, which identified multi-signature security protocol Safe’s Safe{Wallet} arm as the point-of-failure in last week’s record-breaking $1.5 billion hack."
"Bybit’s forensic review concluded that the exchange had no security vulnerabilities and that the hack originated from Safe wallet’s breach","Multiple independent audits have now pointed the finger at the cause of last week’s historic $1.4 billion Bybit hack—billed as the largest crypto hack of all time based on the value of the assets—and it wasn’t the crypto exchange at fault."
"Bybit’s forensic review concluded that the exchange had no security vulnerabilities and that the hack originated from Safe wallet’s breach","Bybit released a forensic review, revealing that the exchange had no security vulnerabilities and that the attack stemmed solely from Safe wallet's breach."
"Bybit’s forensic review concluded that the exchange had no security vulnerabilities and that the hack originated from Safe wallet’s breach","A forensic review conducted by Sygnia and Verichains revealed on Feb. 26 that “the credentials of a Safe developer were compromised [...] which allowed the attacker to gain unauthorized access to the Safe(Wallet) infrastructure and totally deceive signers into approving a malicious transaction.” "
" Alterya has a strong track record in detecting malicious digital identities across websites, social media, text messages and is working with companies like Coinbase and Binance","The startup says it can detect malicious digital identities across websites, social media, text messages, and more"
" Alterya has a strong track record in detecting malicious digital identities across websites, social media, text messages and is working with companies like Coinbase and Binance","Its clients include Coinbase, Square, and Binance"
"Avalon Labs was founded during Season 8 of the Most Valuable Builder (MVB) accelerator, which was organized in partnership with BNB Chain, CoinMarketCap, and YZi Labs","Avalon’s journey began in Season 8 of the Most Valuable Builder (MVB) accelerator—run in partnership with BNB Chain, CoinMarketCap, and YZi Labs."
"Avalon Labs was founded during Season 8 of the Most Valuable Builder (MVB) accelerator, which was organized in partnership with BNB Chain, CoinMarketCap, and YZi Labs","Avalon Labs took part in the eighth edition of the MVB program, led by BNB Chain, YZi Labs, and CoinMarketCap — a key opportunity to strengthen its model and expand its financial ecosystem."
"Season 1 of Zksyn’s Ignite program began on January 6, 2025, and was originally scheduled to run through March 31. However, due to financial constraints, the program ended early, with the final payout scheduled for March 17.","The termination process begins on March 17 by turning off rewards for period 6. This results in an early end to the Ignite rewards campaign, which was initially planned to run for nine months with three seasons, starting with season 1 from January to March."
"Season 1 of Zksyn’s Ignite program began on January 6, 2025, and was originally scheduled to run through March 31. However, due to financial constraints, the program ended early, with the final payout scheduled for March 17.","Season 1, which started on January 6, distributed 300M ZK tokens as incentives, but the program coincided with an even bigger drawdown on the market price."
"Kinexys' GBP blockchain accounts provide a non-dollar alternative for fast cross-border payments, filling a gap left by USD-dominated stablecoins","JPMorgan (JPM) has added support for British pound-denominated accounts to its blockchain-based payments network Kinexys, as the bank targets a gap left by the stablecoin market’s overwhelming focus on the U.S. dollar."
" Mode introduced an AI-powered tool called Synth, designed to predict cryptocurrency price movements","Mode launches Synth 'subnet' on Bittensor to build decentralized AI that predicts crypto prices"
" Mode introduced an AI-powered tool called Synth, designed to predict cryptocurrency price movements","Mode, a Layer 2 blockchain network built on Ethereum and integrated into Optimism’s Superchain, has made a bold move in its path of innovation. According to The Block, the crypto-friendly financial platform has launched Synth, an advanced AI-powered tool for predicting cryptocurrency prices. "
"Berachain launched with native DeFi applications, including its own decentralized exchange (BEX), money market (Bend), and perpetuals platform (Berps)","It may also explain why Bera has made the unusual choice to enshrine native applications — like its AMM DEX (BEX), money market (Bend) and perps DEX (Berps) at launch — as opposed to most L1s which outsource these efforts to third-party builders"
"Users criticized Ledger for phasing out the Nano S, arguing it disregards recent buyers and forces them into unnecessary migrations","One user, @BAYC5511, called Ledger “absolutely worthless,” criticising the company for disregarding customers who bought Nano S devices during the 2021–2023 bull run."
"Users criticized Ledger for phasing out the Nano S, arguing it disregards recent buyers and forces them into unnecessary migrations","Very uncool Ledger – you effectively force anyone to buy and enter the seed into a new device,” one user wrote on X."
"Users criticized Ledger for phasing out the Nano S, arguing it disregards recent buyers and forces them into unnecessary migrations","Forcing users to buy a new device and import their seed is not OK."
"Users criticized Ledger for phasing out the Nano S, arguing it disregards recent buyers and forces them into unnecessary migrations","Also they’re still selling the Nano S on their site which is negligent and misleading to people just getting into crypto"
"Bancor has filed a patent infringement lawsuit against Uniswap, accusing the decentralized exchange of unlawfully using its patented automated market maker (AMM) technology","Bancor, the creator of a smart contract-based automated market maker, is suing Uniswap for patent infringement, alleging the decentralized finance exchange has used its technology without permission and profited significantly from it."
"Bancor has filed a patent infringement lawsuit against Uniswap, accusing the decentralized exchange of unlawfully using its patented automated market maker (AMM) technology","The developers behind Bancor have filed a patent infringement lawsuit against Uniswap Labs and the Uniswap Foundation, accusing them of unlawfully using its foundational decentralized exchange technology."
"The ""Sapien Capital—Open Science Fund I” will invest in DeSci startups working in the areas of sophisticated wearables, user-owned data collectives, and gamified drug discovery","Key areas of interest for the fund include more sophisticated wearables, user-owned data collectives, and gamified drug discovery, all underpinned by the innovative funding and ownership models crypto has developed over the last decade"
"The ""Sapien Capital—Open Science Fund I” will invest in DeSci startups working in the areas of sophisticated wearables, user-owned data collectives, and gamified drug discovery","The fund will target areas including wearables, user-owned data collectives, and gamified drug discovery"
"Ledger is urging users to upgrade from the Nano S to newer models like the Nano S Plus, Nano X, Stax or Flex, which provide more storage and support modern crypto apps","Ledger is urging its customers to transition to newer models such as the Nano S Plus, Nano X, Ledger Stax, or the recently introduced Ledger Flex."
"Ledger is urging users to upgrade from the Nano S to newer models like the Nano S Plus, Nano X, Stax or Flex, which provide more storage and support modern crypto apps","The company maintains that upgraded devices come with more storage, enhanced usability, and compatibility with upcoming blockchain technologies."
"Ledger is urging users to upgrade from the Nano S to newer models like the Nano S Plus, Nano X, Stax or Flex, which provide more storage and support modern crypto apps","Ledger also confirmed it has stopped manufacturing the Nano S and suggests users and developers move to its other models like the Nano S Plus or Nano X."
"Roger Ver, known as “Bitcoin Jesus,” was arrested in Spain in 2024 after being indicted in the U.S. for tax evasion related to concealing over $48 million in Bitcoin gains.","He was arrested in Spain that same month and released on €150,000 bail in May, under the condition that he surrender his passport and report regularly to authorities while he fights extradition to the U.S."
"Roger Ver, known as “Bitcoin Jesus,” was arrested in Spain in 2024 after being indicted in the U.S. for tax evasion related to concealing over $48 million in Bitcoin gains.","Mr. Ver, a former California resident who renounced his U.S. citizenship in 2014, was arrested last year in Spain, according to the Justice Department, which announced plans at the time to extradite him."
"Tether plans to integrate MOS with its internal data analytics platform QVAC and artificial intelligence tools to optimize mining performance and productivity.","Additionally, the Tether team plans to integrate artificial intelligence tools to enhance performance analysis and optimize production based on the data generated by the system."
"Tether plans to integrate MOS with its internal data analytics platform QVAC and artificial intelligence tools to optimize mining performance and productivity.","Tether also envisions integrating MOS with its internal data platform QVAC and artificial intelligence tools for performance optimization based on mining data."
"Cronos' proposal to reissue 70 billion CRO, reversing the 2021 token burn, aims to support institutional adoption, fund a CRO-based ETF, and accelerate AI-related initiatives","Funds will support institutional adoption, including a CRO ETF, TradFi projects, and AI-related initiatives."
"Cronos' proposal to reissue 70 billion CRO, reversing the 2021 token burn, aims to support institutional adoption, fund a CRO-based ETF, and accelerate AI-related initiatives","Cronos developers argue that this aligns with Cronos’ long-term vision and supports its growth strategy. If approved, the total supply of CRO would return to 100 billion, with the tokens held in an escrow wallet"
"Unichain asset balances and liquidity positions are now reflected in real time within the 1inch Portfolio dashboard, providing a unified and continuously updated view of user holdings","Store and track Unichain assets securely with 1inch Wallet and 1inch Portfolio. All Uniswap balances and positions are now automatically reflected in the 1inch Portfolio dashboard, giving users a complete overview of their holdings in one place."
"Unichain asset balances and liquidity positions are now reflected in real time within the 1inch Portfolio dashboard, providing a unified and continuously updated view of user holdings","Comprehensive compatibility has been established across the 1inch Wallet and APIs, while portfolio tools now offer real-time monitoring of Uniswap balances through the 1inch Portfolio interface"
"Ethena Foundation, the developer of USDe stablecoin, has raised $100 million via a private sale of their ENA governance tokens from investors, including Franklin Templeton","Ethena Foundation has raised $100 million via a private sale of ENA tokens from investors, including Franklin Templeton, Polychain, Pantera, Dragonfly and F-Prime"
"Ethena Foundation, the developer of USDe stablecoin, has raised $100 million via a private sale of their ENA governance tokens from investors, including Franklin Templeton","Ethena, developer of the synthetic stablecoin USDe, has raised $100 million to finance a similar token targeted at traditional financial (TradFi) institutions, Bloomberg reported on Monday.  The funding round was completed in December, with Franklin Templeton and Fidelity Investments-affiliated F-Prime Capital among the backers, the report added, citing a person familiar with the matter"
"Turnkey’s technology is used by major crypto companies, including prediction market platform Polymarket, NFT marketplace Magic Eden, Stripe-owned stablecoin firm Bridge","The company counts prediction market platform Polymarket, non-fungible token (NFT) marketplace Magic Eden and Stripe-owned stablecoin firm Bridge among its clients."
"Turnkey’s technology is used by major crypto companies, including prediction market platform Polymarket, NFT marketplace Magic Eden, Stripe-owned stablecoin firm Bridge","Many well-known firms in the crypto industry use Turnkey’s product, including the prediction market platform Polymarket, the NFT marketplace Magic Eden, and Bridge, the stablecoin startup recently acquired by fintech giant Stripe."
"Turnkey’s technology is used by major crypto companies, including prediction market platform Polymarket, NFT marketplace Magic Eden, Stripe-owned stablecoin firm Bridge","Its customers include the likes of Bridge, Magic Eden, Alchemy, and Moonshot."
"Turnkey’s technology is used by major crypto companies, including prediction market platform Polymarket, NFT marketplace Magic Eden, Stripe-owned stablecoin firm Bridge","Its technology is already being used by some of the leading crypto companies including the prediction market platform Polymarket, the NFT marketplace Magic Eden, and stablecoin infrastructure service provider Bridge."
"SEC Commissioner Hester Price criticized former SEC's approach under the leadership of Gary Gensler as ""regulation-by-enforcement” that involved lawsuits rather than clear rules","Some in the crypto industry—as well as lawmakers and regulators like Commissioner Peirce—argued that the SEC ran with a ""regulation by enforcement"" approach under Gensler: hitting crypto companies with lawsuits rather than creating a clear set of rules for them to follow"
"The Bank of Israel intends to design the digital shekel as programmable and interoperable with existing payment systems and digital asset networks.","“The DS will be interoperable with other payment systems, allowing users to receive or pay in digital shekel even if the other party to the payment does not use the digital shekel.”"
"The Bank of Israel intends to design the digital shekel as programmable and interoperable with existing payment systems and digital asset networks.","""Central banks currently exploring digital currencies have insisted that any new monetary system interoperates with existing infrastructure, ensuring seamless exchangeability between CBDCs and bank deposits."""
"Ledger Recovery Key is an offline, PIN-protected smart card, unlike Ledger Recover, a 2023 cloud-based service that splits and encrypts users’ 24-word phrases into fragments stored in secure hardware modules across jurisdictions","Unlike Ledger’s previously released key recovery product, Ledger Recover, which stores encrypted fragments of recovery phrases in cloud-based hardware security modules, Ledger Recovery Key is always offline and protected by its own PIN."
"Ledger Recovery Key is an offline, PIN-protected smart card, unlike Ledger Recover, a 2023 cloud-based service that splits and encrypts users’ 24-word phrases into fragments stored in secure hardware modules across jurisdictions","Ledger Recover in 2023 — another optional paid service that splits and encrypts users’ recovery phrases into fragments stored in secure hardware security modules across different jurisdictions"
"Texas is the first state to commit public money to a segregated, stand‑alone, publicly‑funded Bitcoin reserve structure.","Texas follows Arizona and New Hampshire in establishing a state-run Bitcoin reserve fund, although Texas is the first to create a stand-alone, publicly-funded reserve. The fund was established outside the usual state treasury and will be managed by the Texas Comptroller of Public Accounts, Glenn Hegar."
"Texas is the first state to commit public money to a segregated, stand‑alone, publicly‑funded Bitcoin reserve structure.","Texas becomes the third US state to approve a Bitcoin reserve law, joining Arizona and New Hampshire. Unlike those states, however, Texas is the first to commit public funds and establish a separate structure for Bitcoin holdings."
"Avalon Labs will use the investments from YZi Labs to expand its institutional Bitcoin lending business","At the same time, the company said it is ramping up its institutional lending business, seeking to become the world’s first fully regulated on-chain Bitcoin financial institution."
"Kraken’s tokenised stock launch follows earlier failed attempts by Binance and other exchanges, which halted similar offerings after regulatory warnings about lacking local licensing","Binance, the world’s largest crypto exchange, introduced tokenized versions of Tesla and other U.S. stocks in 2021. But it pulled the plug on them a few months later after regulators around the world warned that Binance didn’t have the needed licenses to offer them locally."
"Kraken’s tokenised stock launch follows earlier failed attempts by Binance and other exchanges, which halted similar offerings after regulatory warnings about lacking local licensing","Kraken must navigate an international thicket of regulations to ensure its xStocks are offered legally in each country."
"Alexey Pertsev during his trial for facilitating money laundering argued that privacy tools should not be equated with money laundering and that open-source developers should not be held liable for their software's use","Following the court ruling, Pertsev has maintained that privacy tools should not be equated with money laundering and that open-source developers should not be held accountable for how their software is used"
"Chainweb EVM network is attracting participation from leading DeFi, infrastructure and gaming protocols, including Sushiswap, LayerZero, Stargate, Minterest, Eonian, Dexalot, Meta Lend and Espotz","Confirmed participants include top-tier DeFi, infrastructure, and gaming protocols such as Sushiswap, Minterest, Eonian, Dexalot, Meta Lend, and Espotz"
"Chainweb EVM network is attracting participation from leading DeFi, infrastructure and gaming protocols, including Sushiswap, LayerZero, Stargate, Minterest, Eonian, Dexalot, Meta Lend and Espotz","The participant base includes established decentralised finance (DeFi) platforms, infrastructure providers, and gaming protocols such as Sushiswap, LayerZero, Stargate, Minterest, Eonian, Dexalot, Meta Lend, and Espotz"
"Bullish DE Custody GmbH plans to introduce crypto market services designed for institutional and professional investors in EU","The approvals, granted on December 20, authorize Bullish DE to engage in crypto asset custody, proprietary trading, and principal brokerage"
"Bullish DE Custody GmbH plans to introduce crypto market services designed for institutional and professional investors in EU","Bullish DE plans to focus on services designed for institutional and professional investors, leveraging its new licenses to enhance its offerings within the European market"
"Bullish DE Custody GmbH plans to introduce crypto market services designed for institutional and professional investors in EU","According to the company release, Bullish DE plans to use its BaFin licenses to introduce services specifically designed for institutional and professional investors. This development could pave the way for further advancements in the EU crypto market"
"FinCEN’s investigation into Huione Group’s $4 billion laundering operation found that the conglomerate failed to implement visible anti-money laundering (AML) and know-your-customer (KYC) policies, allowing suspicious transactions, including those tied to North Korean cyberattacks to go undetected.","Despite public evidence of widespread abuse, Huione entities lacked visible anti-money laundering (AML) and know-your-customer (KYC) policies."
"FinCEN’s investigation into Huione Group’s $4 billion laundering operation found that the conglomerate failed to implement visible anti-money laundering (AML) and know-your-customer (KYC) policies, allowing suspicious transactions, including those tied to North Korean cyberattacks to go undetected.","FinCEN alleges Huione operated with either absent or ineffective anti-money laundering and know-your-customer protocols. It further claims that Huione Group acknowledged deficiencies in its procedures after allegedly receiving funds indirectly connected to North Korean cyber operations."
"Brad Vopni, before joining Gemini as head of institutional spent 6 years at one of the largest electronic trading firms in the U.S Hudson River Trading as head of digital assets at, where he led the firm’s expansion into the crypto space","Prior to joining Gemini, Vopni spent 6 years as head of digital assets at Hudson River Trading, one of the largest global electronic trading firms, where he led the firm’s expansion into the crypto space."
"Brad Vopni, before joining Gemini as head of institutional spent 6 years at one of the largest electronic trading firms in the U.S Hudson River Trading as head of digital assets at, where he led the firm’s expansion into the crypto space","Vopni is joining as head of institutional after previously serving as head of digital assets at Hudson River Trading, one of the largest electronic trading companies in the U.S. Prior to that, Vopni led NextShares’s capital markets business, where he helped develop one of the industry's first actively managed, portfolio-protected ETFs."
"Block must pay the fine within 10 days and appoint a 12-month independent monitor, selected by DFS, to overhaul its AML, sanctions and transaction monitoring programs","Block must pay the fine within 10 days and submit to a 12-month independent monitor selected by DFS to overhaul its AML, sanctions, and transaction monitoring programs"
"Block must pay the fine within 10 days and appoint a 12-month independent monitor, selected by DFS, to overhaul its AML, sanctions and transaction monitoring programs","The settlement requires Block to hire an independent monitor, the regulator said in the statement."
"Tornado Cash was originally sanctioned in August 2022 amid allegations that it facilitated the laundering of over $7 billion in illicit funds, according to the US Treasury, primarily linked to North Korea’s Lazarus Group and high-profile crypto exploits","OFAC sanctioned Tornado Cash in August 2022 after claiming cybercriminals, particularly those tied to North Korea and its hacker ring, the Lazarus Group, used the platform to launder cryptocurrency procured from illicit activity"
"Tornado Cash was originally sanctioned in August 2022 amid allegations that it facilitated the laundering of over $7 billion in illicit funds, according to the US Treasury, primarily linked to North Korea’s Lazarus Group and high-profile crypto exploits","The crypto mixing tool has been accused of helping North Korea's Lazarus Group launder stolen funds from its various hacks and thefts"
"Tornado Cash was originally sanctioned in August 2022 amid allegations that it facilitated the laundering of over $7 billion in illicit funds, according to the US Treasury, primarily linked to North Korea’s Lazarus Group and high-profile crypto exploits","In total, Tornado Cash has purportedly facilitated the laundering of more than $7 billion in illicit funds since the protocol was launched in 2019, according to the US Treasury"
"Tornado Cash was originally sanctioned in August 2022 amid allegations that it facilitated the laundering of over $7 billion in illicit funds, according to the US Treasury, primarily linked to North Korea’s Lazarus Group and high-profile crypto exploits","In August 2022, OFAC sanctioned Tornado Cash after alleging the blockchain protocol helped launder cryptocurrency stolen by Lazarus Group, a North Korean hacking outfit"
"Kevin Owocki announced the launch of his book, How to DAO: Mastering the Future of Internet Coordination, published by Penguin Random House on January 21, 2025","The computer scientist has just published a book entitled ‘How to DAO,’ explaining why these organizations will play a vital role in the growth of decentralized finance"
"Kevin Owocki announced the launch of his book, How to DAO: Mastering the Future of Internet Coordination, published by Penguin Random House on January 21, 2025","His upcoming book, How to DAO: Mastering the Future of Internet Coordination, will be published by Penguin Random House on January 21, 2025"
"Scroll’s Euclid upgrade integrates five core protocol enhancements, including new prover architecture, MPT state commitments, and EIP/RIP support.","Euclid pulls together five main improvements to the protocol, including migrations to a new L2 ""prover"" and state commitment system"
"Scroll’s Euclid upgrade integrates five core protocol enhancements, including new prover architecture, MPT state commitments, and EIP/RIP support.","The Euclid upgrade includes a range of features designed to improve network performance, boost compatibility for certain applications, and reduce data storage costs."
"The SEC’s investigation has reportedly included outreach to former Coinbase employees and is grounded in the agency’s mandate to prevent misleading disclosures in investor filings","Agency officials have contacted former Coinbase employees over the past few months, seeking information about the “verified user” figure, said the people familiar with the inquiry"
"The SEC’s investigation has reportedly included outreach to former Coinbase employees and is grounded in the agency’s mandate to prevent misleading disclosures in investor filings","The S.E.C. has a longstanding mission to make sure that public companies do not include misleading statements in regulatory filings that could influence an investor’s decision-making process."
"Arbitrum Foundation claimed, that Nvidia’s at first excluded the Foundation from the participation in Ignition AI accelerator, but later changed its mind and stated that it was open to collaborating with Arbitrum","However, later, the Arbitrum Foundation claimed that Nvidia had recently changed its mind and stated that it was open to collaborating with Arbitrum, provided that the chipmaker was not named in any announcements about cryptocurrency that were made public."
"Arbitrum Foundation claimed, that Nvidia’s at first excluded the Foundation from the participation in Ignition AI accelerator, but later changed its mind and stated that it was open to collaborating with Arbitrum","However, the Arbitrum Foundation said, Nvidia changed its tune in recent weeks, saying it was willing to partner with Arbitrum, as long as the chipmaker wasn't mentioned in any public-facing crypto-related announcements"
"Kinexys processes over $2 billion in daily blockchain transactions, reaching over $1.5 trillion cumulatively since inception","The launch comes as Kinexys continues to grow its blockchain-based services. Since its debut in 2019, the platform has processed more than $1.5 trillion in total transaction volume, with average daily activity exceeding $2 billion and payments volume growing tenfold year over year, JPMorgan said. That's still just a small fraction of the roughly $10 trillion in daily transactions that JPMorgan's payments division handles."
"Kinexys processes over $2 billion in daily blockchain transactions, reaching over $1.5 trillion cumulatively since inception","Kinexys has processed more than $1.5 trillion in cumulative transactions across all its services which include payments, intraday repo, collateral management and other offerings. It now averages around $2 billion in transactions daily."
"Chainalysis described Nobitex as a central hub in Iran’s sanctioned crypto ecosystem, stating that the hack underscores the tension between crypto’s borderless nature and the regulatory restrictions imposed by nation-states","Nobitex isn’t just a local exchange; it serves as a critical hub within Iran’s heavily sanctioned crypto ecosystem, enabling access to global markets for users cut off from traditional finance,"" Chainalysis wrote"
"Chainalysis described Nobitex as a central hub in Iran’s sanctioned crypto ecosystem, stating that the hack underscores the tension between crypto’s borderless nature and the regulatory restrictions imposed by nation-states","[The] exploit underscores the inherent tension between the borderless nature of cryptocurrency and the geopolitical realities of nation-state restrictions,"" Chainalysis wrote"
"Ethereum Foundation leadership transition comes amid community scrutiny, with some calling for Miyaguchi’s resignation and suggesting alternatives like Danny Ryan, though co-founder Vitalik Buterin has defended her","Many have called to nominate former EF researcher Danny Ryan, who led Ethereum's switch to proof-of-stake, as the new lead director"
"Ethereum Foundation leadership transition comes amid community scrutiny, with some calling for Miyaguchi’s resignation and suggesting alternatives like Danny Ryan, though co-founder Vitalik Buterin has defended her","As I see it, the role of an ED is to create an environment where others can shine and do their best work"
"Ethereum Foundation leadership transition comes amid community scrutiny, with some calling for Miyaguchi’s resignation and suggesting alternatives like Danny Ryan, though co-founder Vitalik Buterin has defended her","every success of the EF - the steady execution of Ethereum hard forks, client interop workshops, Devcon, Ethereum's culture and steadfast commitment to its mission and values, and more - is in part a result of Aya's stewardship"
"The CFTC withdraws a 2018 crypto trading advisory No. 18-14, saying that it is not needed any more as staff now has sufficient experience with virtual currency derivatives and the market has shown increasing growth and maturity","WASHINGTON, D.C. — The Commodity Futures Trading Commission’s Division of Market Oversight and Division of Clearing and Risk announced they are withdrawing CFTC Staff Advisory No. 18-14, Advisory with Respect to Virtual Currency Derivative Product Listings, effective immediately.   As stated in the withdrawal letter, DMO and DCR determined that the advisory is no longer needed given additional staff experience with virtual currency derivative product listings and increasing market growth and maturity."
"Raj Dhamodharan, Executive Vice President of Blockchain and Digital Assets at Mastercard, emphasized the company’s mission to bridge onchain commerce with offchain mainstream payment networks by leveraging Mastercard’s global infrastructure","People want to be able to easily connect to the digital assets ecosystem, and vice versa,"" said Mastercard Executive Vice President of Blockchain and Digital Assets Raj Dhamodharan in a statement"
